episode,total_reward
1,-1084.734768152237
2,-1318.764635026455
3,-698.3145403265953
4,-1269.4472233057022
5,-1215.071823000908
6,-1071.8211643695831
7,-1341.6248398423195
8,-739.7375159859657
9,-1173.0317398309708
10,-1038.4446375370026
11,-1110.0014747977257
12,-908.8689621686935
13,-1377.2564437389374
14,-558.7233546972275
15,-1287.841948390007
16,-1299.1715923547745
17,-1322.3213531970978
18,-1279.2028178572655
19,-1342.9222548604012
20,-1233.1282269358635
21,-1315.3240630030632
22,-812.9509569406509
23,-1359.6317645907402
24,-1316.211102604866
25,-1298.7125654816628
26,-1210.6124200820923
27,-1289.6870920658112
28,-1329.7868820428848
29,-1349.8214854598045
30,-1223.3841062188148
31,-1249.1429682374
32,-1230.6343401670456
33,-1265.4501286149025
34,-1327.5339430570602
35,-1332.854578614235
36,-1203.768292248249
37,-1433.4135251641273
38,-1433.5540637373924
39,-1442.982061266899
40,-1433.5546562075615
41,-1424.126826941967
42,-1433.5546020269394
43,-1433.554708123207
44,-1424.1176564097404
45,-1433.5448977947235
46,-1433.537953734398
47,-1442.972479224205
48,-1424.1168288588524
49,-1424.1186293959618
50,-1442.972455382347
51,-1433.545273065567
52,-1433.5452801585197
53,-1433.545323908329
54,-1433.5461255311966
55,-1433.5445228219032
56,-1433.5462448000908
57,-1424.1170189976692
58,-1442.913181900978
59,-1433.545964062214
60,-1433.5449378490448
61,-1433.5451382994652
62,-1433.5475585460663
63,-1442.978412091732
64,-1433.5494562387466
65,-1433.5416563749313
66,-1433.5489535331726
67,-1433.5495703816414
68,-1433.5493568181992
69,-1433.5494728684425
70,-1433.1933168172836
71,-1433.287340581417
72,-1433.455562531948
73,-1433.5157135725021
74,-1433.5493804216385
75,-1433.549421787262
76,-1433.5490927696228
77,-1433.5493849515915
78,-1433.5494277477264
79,-1442.9763442277908
80,-1433.5491134524345
81,-1433.5506288409233
82,-1433.5497263073921
83,-1433.5489940047264
84,-1433.549424469471
85,-1433.5497152805328
86,-1442.9769459366798
87,-1424.1223751306534
88,-1433.5490791201591
89,-1433.5497210025787
90,-1433.5489650964737
91,-1433.5495485067368
92,-1433.5499253869057
93,-1442.9769069552422
94,-1433.5494396686554
95,-1433.5328174829483
96,-1433.5494957566261
97,-1433.5489540100098
98,-1433.5496535301208
99,-1433.549113035202
100,-1433.5491039156914
101,-1433.5490771532059
102,-1433.5497349500656
103,-1433.548700928688
104,-1433.5493761897087
105,-1433.4133244156837
106,-1433.549861073494
107,-1433.4773500561714
108,-1433.550353884697
109,-1424.1217831969261
110,-1442.9771733880043
111,-1433.5493701696396
112,-1442.977008163929
113,-1432.9519389867783
114,-1433.528727889061
115,-1433.5505311489105
116,-1433.5495583415031
117,-1433.5509486794472
118,-1433.5497788786888
119,-1433.5490846037865
120,-1433.54871404171
121,-1433.5495664477348
122,-1433.5493589639664
123,-1433.538142502308
124,-1433.5509350895882
125,-1424.1220762133598
126,-1433.5497515797615
127,-1433.5499585866928
128,-1433.549294412136
129,-1433.5493791103363
130,-1442.9770802855492
131,-1433.3595340251923
132,-1433.5496915578842
133,-1433.5506696105003
134,-1433.5508865714073
135,-1433.5505899190903
136,-1433.5493240952492
137,-1433.5497779846191
138,-1433.5151622891426
139,-1442.5998940467834
140,-1433.5265883207321
141,-1433.5495237708092
142,-1433.5494571328163
143,-1433.5493179559708
144,-1442.9767832159996
145,-1433.4757449030876
146,-1433.5506392717361
147,-1433.5495968461037
148,-1442.9769563674927
149,-1433.5494863390923
150,-1433.5499112606049
151,-1433.5494191646576
152,-1424.1116614341736
153,-1433.5494295358658
154,-1433.550844669342
155,-1433.5494028925896
156,-1424.1216495037079
157,-1433.5495101213455
158,-1442.9567085504532
159,-1433.5344223380089
160,-1433.5503779053688
161,-1442.9773860573769
162,-1433.5498214960098
163,-1433.5493330955505
164,-1433.5495254993439
165,-1424.121922492981
166,-1433.5490814447403
167,-1433.492101252079
168,-1433.1739509105682
169,-1433.5499346852303
170,-1433.5499137043953
171,-1433.334577023983
172,-1433.5497270822525
173,-1433.5490682721138
174,-1433.5498836040497
175,-1433.5494067668915
176,-1442.972371518612
177,-1433.5524411797523
178,-1433.5524490475655
179,-1433.5524390935898
180,-1433.5524553656578
181,-1433.552442073822
182,-1433.5524390935898
183,-1442.9713681340218
184,-1433.5524423122406
185,-1433.5106278657913
186,-1433.552452147007
187,-1433.5493681430817
188,-1433.4027726054192
189,-1433.5524318814278
190,-1442.9799588918686
191,-1433.492694735527
192,-1424.1249561309814
193,-1433.5524297952652
194,-1424.0484276413918
195,-1433.5524386167526
196,-1414.6974403858185
197,-1433.552491426468
198,-1433.5525138378143
199,-1424.1211589574814
200,-1433.5524547100067
201,-1433.4759647846222
202,-1433.5524294376373
