episode,total_reward
1,0.0
episode,total_reward
2,0.0
episode,total_reward
3,0.0
episode,total_reward
4,0.0
episode,total_reward
5,0.0
episode,total_reward
6,0.0
episode,total_reward
7,0.0
episode,total_reward
8,0.0
episode,total_reward
9,0.0
episode,total_reward
10,0.0
episode,total_reward
11,0.0
episode,total_reward
12,0.0
episode,total_reward
13,0.0
episode,total_reward
14,0.0
episode,total_reward
15,0.0
episode,total_reward
16,0.0
episode,total_reward
17,0.0
episode,total_reward
18,0.0
episode,total_reward
19,0.0
episode,total_reward
20,0.0
episode,total_reward
21,0.0
episode,total_reward
22,0.0
episode,total_reward
23,0.0
episode,total_reward
24,0.0
episode,total_reward
25,0.0
episode,total_reward
26,0.0
episode,total_reward
27,0.0
episode,total_reward
28,0.0
episode,total_reward
29,0.0
episode,total_reward
30,0.0
episode,total_reward
31,0.0
episode,total_reward
32,0.0
episode,total_reward
33,0.0
episode,total_reward
34,0.0
episode,total_reward
35,0.0
episode,total_reward
36,0.0
episode,total_reward
37,0.0
episode,total_reward
38,0.0
episode,total_reward
39,0.0
episode,total_reward
40,0.0
episode,total_reward
41,0.0
episode,total_reward
42,0.0
episode,total_reward
43,0.0
episode,total_reward
44,0.0
episode,total_reward
45,0.0
episode,total_reward
46,0.0
episode,total_reward
47,0.0
episode,total_reward
48,0.0
episode,total_reward
49,0.0
episode,total_reward
50,0.0
episode,total_reward
51,0.0
episode,total_reward
52,0.0
episode,total_reward
53,0.0
episode,total_reward
54,0.0
episode,total_reward
55,0.0
episode,total_reward
56,0.0
episode,total_reward
57,0.0
episode,total_reward
58,0.0
episode,total_reward
59,0.0
episode,total_reward
60,0.0
episode,total_reward
61,0.0
episode,total_reward
62,0.0
episode,total_reward
63,0.0
episode,total_reward
64,0.0
episode,total_reward
65,0.0
episode,total_reward
66,0.0
episode,total_reward
67,0.0
episode,total_reward
68,0.0
episode,total_reward
69,0.0
episode,total_reward
70,0.0
episode,total_reward
71,0.0
episode,total_reward
72,0.0
episode,total_reward
73,0.0
episode,total_reward
74,0.0
episode,total_reward
75,0.0
episode,total_reward
76,0.0
episode,total_reward
77,0.0
episode,total_reward
78,0.0
episode,total_reward
79,0.0
episode,total_reward
80,0.0
episode,total_reward
81,0.0
episode,total_reward
82,0.0
episode,total_reward
83,0.0
episode,total_reward
84,0.0
episode,total_reward
85,0.0
episode,total_reward
86,0.0
episode,total_reward
87,0.0
episode,total_reward
88,0.0
episode,total_reward
89,0.0
episode,total_reward
90,0.0
episode,total_reward
91,0.0
episode,total_reward
92,0.0
episode,total_reward
93,0.0
episode,total_reward
94,0.0
episode,total_reward
95,0.0
episode,total_reward
96,0.0
episode,total_reward
97,0.0
episode,total_reward
98,0.0
episode,total_reward
99,0.0
episode,total_reward
100,0.0
episode,total_reward
101,0.0
episode,total_reward
102,0.0
episode,total_reward
103,0.0
episode,total_reward
104,0.0
episode,total_reward
105,0.0
episode,total_reward
106,0.0
episode,total_reward
107,0.0
episode,total_reward
108,0.0
episode,total_reward
109,0.0
episode,total_reward
110,0.0
episode,total_reward
111,0.0
episode,total_reward
112,0.0
episode,total_reward
113,0.0
episode,total_reward
114,0.0
episode,total_reward
115,0.0
episode,total_reward
116,0.0
episode,total_reward
117,0.0
episode,total_reward
118,0.0
episode,total_reward
119,0.0
episode,total_reward
120,0.0
episode,total_reward
121,0.0
episode,total_reward
122,0.0
episode,total_reward
123,0.0
episode,total_reward
124,0.0
episode,total_reward
125,0.0
episode,total_reward
126,0.0
episode,total_reward
127,0.0
episode,total_reward
128,0.0
episode,total_reward
129,0.0
episode,total_reward
130,0.0
episode,total_reward
131,0.0
episode,total_reward
132,0.0
episode,total_reward
133,0.0
episode,total_reward
134,0.0
episode,total_reward
135,0.0
episode,total_reward
136,0.0
episode,total_reward
137,0.0
episode,total_reward
138,0.0
episode,total_reward
139,0.0
