episode,total_reward
1,-724.2169894576073
2,-521.5003402233124
3,-556.4817072153091
4,-978.050231397152
5,-692.4889898300171
6,-732.7385020256042
7,-621.0676102638245
8,-1005.5553531646729
9,-731.1052157878876
10,-713.8118581771851
11,-627.9547582864761
12,-747.3377354741096
13,-781.8326588869095
14,-1006.9911236763
15,-691.3975389003754
16,-537.4888980388641
17,-532.4148941040039
18,-324.3159465789795
19,-1215.2769374847412
20,-1167.849778175354
21,-1221.9234704971313
22,-1174.215760231018
23,-1175.229097366333
24,-1173.0068674087524
25,-1224.8798742294312
26,-1203.7458267211914
27,-1159.7351236343384
28,-1228.6265268325806
29,-1187.4564685821533
30,-1131.5377264022827
31,-76.87853717803955
32,-912.669513463974
33,-1122.7117459774017
34,-1088.86260586977
35,-1168.0897306799889
36,-333.53672552108765
37,-1000.7408269643784
38,-552.8234148025513
39,-602.6746788024902
40,-600.012770652771
41,-602.0173940658569
42,-603.9110369682312
43,-603.7209906578064
44,-606.0637927055359
45,-605.1820363998413
46,-608.0698924064636
47,-606.9676971435547
48,-599.7932782173157
49,-610.7502002716064
50,-417.262903213501
51,-409.34772539138794
52,-442.708776473999
53,-475.140917301178
54,-431.2760844230652
55,-192.31769227981567
56,-414.9896674156189
57,-383.628653049469
58,-515.651623249054
59,-507.6314263343811
60,-502.95156478881836
61,-344.71970319747925
62,-317.8504571914673
63,-532.5421743392944
64,-579.2635841369629
65,-547.152421951294
66,-549.2136855125427
67,-560.0280375480652
68,-478.87733125686646
69,-583.3307228088379
70,-587.6096141934395
71,-542.3458762168884
72,-689.0406885743141
73,-893.5811896324158
74,-906.781401693821
75,-794.3432403802872
76,-283.38204860687256
77,-7.256187438964844
78,-10.561416625976562
79,-12.645325660705566
80,-10.903656959533691
81,-202.62267637252808
82,-288.1487021446228
83,-575.1284689903259
84,-547.0473928451538
85,-613.4671626091003
86,-512.7926645278931
87,-372.11434602737427
88,-443.48672437667847
89,-511.93715715408325
90,-602.4416098594666
91,-573.5044136047363
92,-591.0539779663086
93,-448.1564087867737
94,-608.0598678588867
95,-581.5813202857971
96,-589.273341178894
97,-590.5491728782654
98,-572.2806887626648
99,-603.2005243301392
100,-602.3875708580017
101,-475.3456106185913
102,-604.9841055870056
103,-603.4428443908691
104,-567.2673358917236
105,-605.3131742477417
106,-576.4883241653442
107,-464.6634964942932
108,-541.9690937995911
109,-539.2729454040527
110,-427.87056827545166
111,-480.05973529815674
112,-531.6965665817261
113,-177.97741413116455
114,-28.004728317260742
115,-243.58799028396606
116,-188.95881986618042
117,-246.36943817138672
118,-178.03435373306274
119,-383.3551058769226
120,-394.22123670578003
121,-579.3431339263916
