episode,total_reward
1,-1103.5900235176086
2,-1262.1653720736504
3,-1260.326439321041
4,-1433.5524551272392
5,-1433.5524448752403
6,-1442.9799537062645
7,-1399.929297864437
8,-1433.545418024063
9,-1433.5524618029594
10,-983.4611560106277
11,-583.5404319763184
12,-450.05133467912674
13,-602.5169200897217
14,-588.1820514798164
15,-638.8068232536316
16,-734.855817258358
17,-600.5667638778687
18,-706.9375393986702
19,-469.62469923496246
20,-636.2012652754784
21,-609.5828565359116
22,-458.1670289039612
23,-462.0188878774643
24,-465.5101904273033
25,-475.639505982399
26,-492.5710888504982
27,-653.5390357971191
28,-607.200809597969
29,-484.1979489326477
30,-581.9671197533607
31,-679.5677737593651
32,-646.0714919567108
33,-761.8674922585487
34,-783.9579613804817
35,-495.6026446223259
36,-660.8341854214668
37,-747.5156218409538
38,-653.614743232727
39,-1134.4638631939888
40,-875.7551550865173
41,-745.9884840250015
42,-640.1439173221588
43,-783.0792661309242
44,-714.971560895443
45,-803.9135838747025
46,-783.8431557416916
47,-591.7625266313553
48,-596.2436443567276
49,-437.3584612607956
50,-737.2871665358543
51,-584.5101234316826
52,-512.161284506321
53,-461.50225681066513
54,-452.9743916988373
55,-464.8951723575592
56,-593.9859702587128
57,-880.8031113743782
58,-489.54123091697693
59,-482.740895152092
60,-703.8749431967735
61,-474.17466711997986
62,-621.2332823872566
63,-634.5786144733429
64,-477.03871631622314
65,-485.28083419799805
66,-563.1734624505043
67,-492.4881935119629
68,-930.7847940325737
69,-604.6541767120361
70,-588.578047990799
71,-631.0484687685966
72,-589.2134822010994
73,-601.448548913002
74,-625.2044077515602
75,-459.04227674007416
76,-609.2202661633492
77,-597.098074734211
78,-456.5772892832756
79,-587.8488778471947
80,-457.3834683895111
81,-583.1657970547676
82,-584.4557172060013
83,-452.0842551589012
84,-453.03326857089996
85,-614.1263862848282
86,-520.3555601835251
87,-457.9861187338829
88,-462.49718326330185
89,-624.3147871494293
90,-457.85516822338104
91,-611.5591642856598
92,-454.02734488248825
93,-588.3369637727737
94,-455.192697763443
95,-616.1887438893318
96,-606.4239175915718
97,-588.4693441987038
98,-604.0287753343582
99,-618.7141623497009
100,-474.330304980278
101,-586.2862858772278
102,-617.5161759853363
103,-587.0675503611565
104,-514.5235362648964
105,-559.9800308346748
106,-446.4650292992592
107,-601.3595346212387
108,-1159.6248779892921
109,-608.698964715004
110,-626.8279501199722
111,-586.1270667314529
112,-456.74055302143097
113,-606.2595525383949
114,-621.6531137824059
115,-451.8005580306053
116,-622.0439231991768
117,-618.5201966762543
118,-452.06587076187134
119,-611.0578501820564
120,-609.336810708046
121,-617.5260292887688
122,-465.8100461959839
123,-603.6003901362419
124,-592.1561109423637
125,-493.6335186958313
126,-590.9773008823395
127,-617.2082749605179
128,-623.2699613571167
129,-445.93269687891006
130,-597.5821354985237
131,-591.8032909035683
132,-457.2339634299278
133,-605.6791568398476
134,-498.95242953300476
135,-601.1359007358551
136,-450.6462040543556
137,-454.0398519039154
138,-498.0864363312721
139,-449.6675491333008
140,-615.5583314299583
141,-450.25734853744507
